tweet_text,username,mentions,date,image,link,quote,reply
youre not my boss,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-17 05:06:00,False,https://web.archive.org/web/20190917120942/https://twitter.com/nekrovevo/status/1173931299624509440,False,True
no u,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-17 05:05:00,False,https://web.archive.org/web/20190917121848/https://twitter.com/nekrovevo/status/1173931018086039552,False,True
thats fucking facts,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,triblu_arts,2019-09-17 05:13:00,False,https://web.archive.org/web/20190917122255/https://twitter.com/nekrovevo/status/1173933047743311873,False,True
the yeen has awokeni hope you all have amazing daysor your knees will be broken :),🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 05:01:00,False,https://web.archive.org/web/20190917125508/https://twitter.com/nekrovevo/status/1173930074359205889,False,False
"tokur has no say, and youre defo only 4 feet tallshort man syndrome",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-17 05:09:00,False,https://web.archive.org/web/20190917130216/https://twitter.com/nekrovevo/status/1173931990774452224,False,True
nerd,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-17 05:10:00,False,https://web.archive.org/web/20190917130537/https://twitter.com/nekrovevo/status/1173932285730516992,False,True
excuse me,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-17 05:04:00,False,https://web.archive.org/web/20190917130704/https://twitter.com/nekrovevo/status/1173930779866324992,False,True
who says?,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-17 05:07:00,False,https://web.archive.org/web/20190917131745/https://twitter.com/nekrovevo/status/1173931566944280576,False,True
who tf reads out of order?XDyou dont read mockingjay where prim dies then read the hunger games wtf XD,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Blu_Folf,2019-09-17 05:11:00,False,https://web.archive.org/web/20190917132821/https://twitter.com/nekrovevo/status/1173932605927870465,True,False
dm me then u w o n t,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-17 05:14:00,False,https://web.archive.org/web/20190917133319/https://twitter.com/nekrovevo/status/1173933243411779589,False,True
nice ;) @nekroart DONT BULLY ME ITS LIGHT MODE,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 05:19:00,True,https://web.archive.org/web/20190917142551/https://twitter.com/nekrovevo/status/1173934597421223936,False,False
10,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,SteeliestGunz,2019-09-17 05:10:00,False,https://web.archive.org/web/20190917151420/https://twitter.com/nekrovevo/status/1173932229468155904,False,True
"i cant, youre too far away",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-17 07:59:00,False,https://web.archive.org/web/20190917151525/https://twitter.com/nekrovevo/status/1173974640588288001,False,True
"say it, u w o n t",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-17 05:12:00,False,https://web.archive.org/web/20190917151800/https://twitter.com/nekrovevo/status/1173932747624050689,False,True
trump is in albuquerquehelp,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 07:52:00,False,https://web.archive.org/web/20190917151811/https://twitter.com/nekrovevo/status/1173972968470278144,False,False
im blessed that hes here?,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,RetayelFox,2019-09-17 07:54:00,False,https://web.archive.org/web/20190917154403/https://twitter.com/nekrovevo/status/1173973607313133568,False,True
thats all my use in conversations,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 08:09:00,True,https://web.archive.org/web/20190917161217/https://twitter.com/nekrovevo/status/1173977180029636609,False,False
@realDonaldTrump please leave New Mexico and go home.,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 07:55:00,False,https://web.archive.org/web/20190917161918/https://twitter.com/nekrovevo/status/1173973879707992064,False,False
1 more until 69 @nekroart nice ;),🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 05:06:00,False,https://web.archive.org/web/20190917165210/https://twitter.com/nekrovevo/status/1173931241571176448,False,False
"perks of dating me~ you'll be my shower, because I'll cry in you every night~ great questions for life such as""Why are they called apartments if they're built together""~ amazing jokes ""What did the fish say when he ran into a wall, Damn""",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 10:19:00,False,https://web.archive.org/web/20190917172707/https://twitter.com/nekrovevo/status/1174010034889445376,False,False
im downXD,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,FerdyDrolfVent,2019-09-17 10:30:00,False,https://web.archive.org/web/20190917173010/https://twitter.com/nekrovevo/status/1174012684158652416,False,True
mixtape dropping never,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,colliepuppy,2019-09-17 11:11:00,False,https://web.archive.org/web/20190917181532/https://twitter.com/nekrovevo/status/1174023082777821184,False,True
hoe,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,ya_boi_elysium,2019-09-17 11:25:00,False,https://web.archive.org/web/20190917183222/https://twitter.com/nekrovevo/status/1174026719436496896,False,True
same,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,MeloonyFarron,2019-09-17 11:00:00,False,https://web.archive.org/web/20190917183326/https://twitter.com/nekrovevo/status/1174020263358263296,True,False
not funny didnt laugh,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,HyenaVibes,2019-09-17 11:18:00,False,https://web.archive.org/web/20190917183634/https://twitter.com/nekrovevo/status/1174024899356024832,False,True
more pizza please,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,ya_boi_elysium,2019-09-17 11:17:00,False,https://web.archive.org/web/20190917183658/https://twitter.com/nekrovevo/status/1174024700269215744,True,False
nah imma sell my fucking l u n g s,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-17 10:50:00,False,https://web.archive.org/web/20190917183754/https://twitter.com/nekrovevo/status/1174017802954391552,False,True
no u,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,ya_boi_elysium,2019-09-17 11:21:00,False,https://web.archive.org/web/20190917184450/https://twitter.com/nekrovevo/status/1174025566250422278,False,True
reported,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-17 11:29:00,False,https://web.archive.org/web/20190917185052/https://twitter.com/nekrovevo/status/1174027602329104384,False,True
bet,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-17 10:54:00,False,https://web.archive.org/web/20190917185148/https://twitter.com/nekrovevo/status/1174018834627383297,False,True
haha pansexuals date panshahahahahah get rekt pansexuals,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-17 10:33:00,False,https://web.archive.org/web/20190917185158/https://twitter.com/nekrovevo/status/1174013438445572096,False,False
